"Town","FIPS","Year","Social Security Status","Measure Type","Variable","Value"
"Ansonia","0900901220","2011-2015","Total","Number","Social Security Status",6954
"Ansonia","0900901220","2011-2015","Without SSI","Number","Margins of Error",321
"Ansonia","0900901220","2011-2015","Without SSI","Number","Social Security Status",4390
"Ansonia","0900901220","2011-2015","Without SSI","Percent","Margins of Error",5.5
"Ansonia","0900901220","2011-2015","Without SSI","Percent","Social Security Status",63.1
"Ansonia","0900901220","2011-2015","With SSI","Number","Margins of Error",242
"Ansonia","0900901220","2011-2015","With SSI","Number","Social Security Status",2564
"Ansonia","0900901220","2011-2015","With SSI","Percent","Margins of Error",3.9
"Ansonia","0900901220","2011-2015","With SSI","Percent","Social Security Status",36.9
"Ansonia","0900901220","2012-2016","Total","Number","Margins of Error",367
"Ansonia","0900901220","2012-2016","Total","Number","Social Security Status",6897
"Ansonia","0900901220","2012-2016","Without SSI","Number","Margins of Error",312
"Ansonia","0900901220","2012-2016","Without SSI","Number","Social Security Status",4464
"Ansonia","0900901220","2012-2016","Without SSI","Percent","Margins of Error",5.7
"Ansonia","0900901220","2012-2016","Without SSI","Percent","Social Security Status",64.7
"Ansonia","0900901220","2012-2016","With SSI","Number","Margins of Error",281
"Ansonia","0900901220","2012-2016","With SSI","Number","Social Security Status",2433
"Ansonia","0900901220","2012-2016","With SSI","Percent","Margins of Error",4.5
"Ansonia","0900901220","2012-2016","With SSI","Percent","Social Security Status",35.3
"Ashford","0901501430","2006-2010","Total","Number","Margins of Error",113
"Ashford","0901501430","2006-2010","Total","Number","Social Security Status",1686
"Ashford","0901501430","2006-2010","Without SSI","Number","Margins of Error",105
"Ashford","0901501430","2006-2010","Without SSI","Number","Social Security Status",1339
"Ashford","0901501430","2006-2010","Without SSI","Percent","Margins of Error",8.2
"Ashford","0901501430","2006-2010","Without SSI","Percent","Social Security Status",79.4
"Ashford","0901501430","2006-2010","With SSI","Number","Margins of Error",53
"Ashford","0901501430","2006-2010","With SSI","Number","Social Security Status",347
"Ashford","0901501430","2006-2010","With SSI","Percent","Margins of Error",3.4
"Ashford","0901501430","2006-2010","With SSI","Percent","Social Security Status",20.6
"Ashford","0901501430","2007-2011","Total","Number","Margins of Error",146
"Ashford","0901501430","2007-2011","Total","Number","Social Security Status",1694
"Ashford","0901501430","2007-2011","Without SSI","Number","Margins of Error",140
"Ashford","0901501430","2007-2011","Without SSI","Number","Social Security Status",1352
"Ashford","0901501430","2007-2011","Without SSI","Percent","Margins of Error",10.8
"Ashford","0901501430","2007-2011","Without SSI","Percent","Social Security Status",79.8
"Ashford","0901501430","2007-2011","With SSI","Number","Margins of Error",57
"Ashford","0901501430","2007-2011","With SSI","Number","Social Security Status",342
"Ashford","0901501430","2007-2011","With SSI","Percent","Margins of Error",3.8
"Ashford","0901501430","2007-2011","With SSI","Percent","Social Security Status",20.2
"Ashford","0901501430","2008-2012","Total","Number","Margins of Error",130
"Ashford","0901501430","2008-2012","Total","Number","Social Security Status",1650
"Ashford","0901501430","2008-2012","Without SSI","Number","Margins of Error",126
"Ashford","0901501430","2008-2012","Without SSI","Number","Social Security Status",1292
"Ashford","0901501430","2008-2012","Without SSI","Percent","Margins of Error",9.8
"Ashford","0901501430","2008-2012","Without SSI","Percent","Social Security Status",78.3
"Ashford","0901501430","2008-2012","With SSI","Number","Margins of Error",63
"Ashford","0901501430","2008-2012","With SSI","Number","Social Security Status",358
"Ashford","0901501430","2008-2012","With SSI","Percent","Margins of Error",4.2
"Ashford","0901501430","2008-2012","With SSI","Percent","Social Security Status",21.7
"Ashford","0901501430","2009-2013","Total","Number","Margins of Error",113
"Ashford","0901501430","2009-2013","Total","Number","Social Security Status",1644
"Ashford","0901501430","2009-2013","Without SSI","Number","Margins of Error",114
"Ashford","0901501430","2009-2013","Without SSI","Number","Social Security Status",1295
"Ashford","0901501430","2009-2013","Without SSI","Percent","Margins of Error",8.8
"Ashford","0901501430","2009-2013","Without SSI","Percent","Social Security Status",78.8
"Ashford","0901501430","2009-2013","With SSI","Number","Margins of Error",53
"Ashford","0901501430","2009-2013","With SSI","Number","Social Security Status",349
"Ashford","0901501430","2009-2013","With SSI","Percent","Margins of Error",3.5
"Ashford","0901501430","2009-2013","With SSI","Percent","Social Security Status",21.2
"Ashford","0901501430","2010-2014","Total","Number","Margins of Error",93
"Ashford","0901501430","2010-2014","Total","Number","Social Security Status",1707
"Ashford","0901501430","2010-2014","Without SSI","Number","Margins of Error",115
"Ashford","0901501430","2010-2014","Without SSI","Number","Social Security Status",1284
"Ashford","0901501430","2010-2014","Without SSI","Percent","Margins of Error",5.3
"Ashford","0901501430","2010-2014","Without SSI","Percent","Social Security Status",75.2
"Ashford","0901501430","2010-2014","With SSI","Number","Margins of Error",68
"Ashford","0901501430","2010-2014","With SSI","Number","Social Security Status",423
"Ashford","0901501430","2010-2014","With SSI","Percent","Margins of Error",3.7
"Ashford","0901501430","2010-2014","With SSI","Percent","Social Security Status",24.8
"Ashford","0901501430","2011-2015","Total","Number","Margins of Error",99
"Ashford","0901501430","2011-2015","Total","Number","Social Security Status",1691
"Ashford","0901501430","2011-2015","Without SSI","Number","Margins of Error",125
"Ashford","0901501430","2011-2015","Without SSI","Number","Social Security Status",1248
"Ashford","0901501430","2011-2015","Without SSI","Percent","Margins of Error",8.6
"Ashford","0901501430","2011-2015","Without SSI","Percent","Social Security Status",73.8
"Ashford","0901501430","2011-2015","With SSI","Number","Margins of Error",85
"Ashford","0901501430","2011-2015","With SSI","Number","Social Security Status",443
"Ashford","0901501430","2011-2015","With SSI","Percent","Margins of Error",5.3
"Ashford","0901501430","2011-2015","With SSI","Percent","Social Security Status",26.2
"Ashford","0901501430","2012-2016","Total","Number","Margins of Error",105
"Ashford","0901501430","2012-2016","Total","Number","Social Security Status",1659
"Ashford","0901501430","2012-2016","Without SSI","Number","Margins of Error",128
"Ashford","0901501430","2012-2016","Without SSI","Number","Social Security Status",1174
"Ashford","0901501430","2012-2016","Without SSI","Percent","Margins of Error",8.9
"Ashford","0901501430","2012-2016","Without SSI","Percent","Social Security Status",70.8
"Ashford","0901501430","2012-2016","With SSI","Number","Margins of Error",88
"Ashford","0901501430","2012-2016","With SSI","Number","Social Security Status",485
"Ashford","0901501430","2012-2016","With SSI","Percent","Margins of Error",5.6
"Ashford","0901501430","2012-2016","With SSI","Percent","Social Security Status",29.2
"Avon","0900302060","2006-2010","Total","Number","Margins of Error",182
"Avon","0900302060","2006-2010","Total","Number","Social Security Status",6786
"Avon","0900302060","2006-2010","Without SSI","Number","Margins of Error",187
"Avon","0900302060","2006-2010","Without SSI","Number","Social Security Status",4855
