"Town","FIPS","Year","Social Security Status","Measure Type","Variable","Value"
"New Canaan","0900150580","2012-2016","Without SSI","Number","Margins of Error",242
"New Canaan","0900150580","2012-2016","Without SSI","Number","Social Security Status",4811
"New Canaan","0900150580","2012-2016","Without SSI","Percent","Margins of Error",3.9
"New Canaan","0900150580","2012-2016","Without SSI","Percent","Social Security Status",68.6
"New Canaan","0900150580","2012-2016","With SSI","Number","Margins of Error",248
"New Canaan","0900150580","2012-2016","With SSI","Number","Social Security Status",2207
"New Canaan","0900150580","2012-2016","With SSI","Percent","Margins of Error",3.6
"New Canaan","0900150580","2012-2016","With SSI","Percent","Social Security Status",31.4
"New Fairfield","0900150860","2006-2010","Total","Number","Margins of Error",168
"New Fairfield","0900150860","2006-2010","Total","Number","Social Security Status",4729
"New Fairfield","0900150860","2006-2010","Without SSI","Number","Margins of Error",160
"New Fairfield","0900150860","2006-2010","Without SSI","Number","Social Security Status",3461
"New Fairfield","0900150860","2006-2010","Without SSI","Percent","Margins of Error",4.3
"New Fairfield","0900150860","2006-2010","Without SSI","Percent","Social Security Status",73.2
"New Fairfield","0900150860","2006-2010","With SSI","Number","Margins of Error",141
"New Fairfield","0900150860","2006-2010","With SSI","Number","Social Security Status",1268
"New Fairfield","0900150860","2006-2010","With SSI","Percent","Margins of Error",3.1
"New Fairfield","0900150860","2006-2010","With SSI","Percent","Social Security Status",26.8
"New Fairfield","0900150860","2007-2011","Total","Number","Margins of Error",188
"New Fairfield","0900150860","2007-2011","Total","Number","Social Security Status",4741
"New Fairfield","0900150860","2007-2011","Without SSI","Number","Margins of Error",217
"New Fairfield","0900150860","2007-2011","Without SSI","Number","Social Security Status",3473
"New Fairfield","0900150860","2007-2011","Without SSI","Percent","Margins of Error",5.4
"New Fairfield","0900150860","2007-2011","Without SSI","Percent","Social Security Status",73.3
"New Fairfield","0900150860","2007-2011","With SSI","Number","Margins of Error",154
"New Fairfield","0900150860","2007-2011","With SSI","Number","Social Security Status",1268
"New Fairfield","0900150860","2007-2011","With SSI","Percent","Margins of Error",3.4
"New Fairfield","0900150860","2007-2011","With SSI","Percent","Social Security Status",26.7
"New Fairfield","0900150860","2008-2012","Total","Number","Margins of Error",159
"New Fairfield","0900150860","2008-2012","Total","Number","Social Security Status",4781
"New Fairfield","0900150860","2008-2012","Without SSI","Number","Margins of Error",184
"New Fairfield","0900150860","2008-2012","Without SSI","Number","Social Security Status",3394
"New Fairfield","0900150860","2008-2012","Without SSI","Percent","Margins of Error",4.5
"New Fairfield","0900150860","2008-2012","Without SSI","Percent","Social Security Status",71
"New Fairfield","0900150860","2008-2012","With SSI","Number","Margins of Error",147
"New Fairfield","0900150860","2008-2012","With SSI","Number","Social Security Status",1387
"New Fairfield","0900150860","2008-2012","With SSI","Percent","Margins of Error",3.2
"New Fairfield","0900150860","2008-2012","With SSI","Percent","Social Security Status",29
"New Fairfield","0900150860","2009-2013","Total","Number","Margins of Error",192
"New Fairfield","0900150860","2009-2013","Total","Number","Social Security Status",4770
"New Fairfield","0900150860","2009-2013","Without SSI","Number","Margins of Error",191
"New Fairfield","0900150860","2009-2013","Without SSI","Number","Social Security Status",3375
"New Fairfield","0900150860","2009-2013","Without SSI","Percent","Margins of Error",4.9
"New Fairfield","0900150860","2009-2013","Without SSI","Percent","Social Security Status",70.8
"New Fairfield","0900150860","2009-2013","With SSI","Number","Margins of Error",147
"New Fairfield","0900150860","2009-2013","With SSI","Number","Social Security Status",1395
"New Fairfield","0900150860","2009-2013","With SSI","Percent","Margins of Error",3.3
"New Fairfield","0900150860","2009-2013","With SSI","Percent","Social Security Status",29.2
"New Fairfield","0900150860","2010-2014","Total","Number","Margins of Error",183
"New Fairfield","0900150860","2010-2014","Total","Number","Social Security Status",4815
"New Fairfield","0900150860","2010-2014","Without SSI","Number","Margins of Error",152
"New Fairfield","0900150860","2010-2014","Without SSI","Number","Social Security Status",3371
"New Fairfield","0900150860","2010-2014","Without SSI","Percent","Margins of Error",1.7
"New Fairfield","0900150860","2010-2014","Without SSI","Percent","Social Security Status",70
"New Fairfield","0900150860","2010-2014","With SSI","Number","Margins of Error",158
"New Fairfield","0900150860","2010-2014","With SSI","Number","Social Security Status",1444
"New Fairfield","0900150860","2010-2014","With SSI","Percent","Margins of Error",3.1
"New Fairfield","0900150860","2010-2014","With SSI","Percent","Social Security Status",30
"New Fairfield","0900150860","2011-2015","Total","Number","Margins of Error",179
"New Fairfield","0900150860","2011-2015","Total","Number","Social Security Status",4851
"New Fairfield","0900150860","2011-2015","Without SSI","Number","Margins of Error",184
"New Fairfield","0900150860","2011-2015","Without SSI","Number","Social Security Status",3282
"New Fairfield","0900150860","2011-2015","Without SSI","Percent","Margins of Error",4.5
"New Fairfield","0900150860","2011-2015","Without SSI","Percent","Social Security Status",67.7
"New Fairfield","0900150860","2011-2015","With SSI","Number","Margins of Error",142
"New Fairfield","0900150860","2011-2015","With SSI","Number","Social Security Status",1569
"New Fairfield","0900150860","2011-2015","With SSI","Percent","Margins of Error",3.2
"New Fairfield","0900150860","2011-2015","With SSI","Percent","Social Security Status",32.3
"New Fairfield","0900150860","2012-2016","Total","Number","Margins of Error",160
"New Fairfield","0900150860","2012-2016","Total","Number","Social Security Status",4795
"New Fairfield","0900150860","2012-2016","Without SSI","Number","Margins of Error",181
"New Fairfield","0900150860","2012-2016","Without SSI","Number","Social Security Status",3236
"New Fairfield","0900150860","2012-2016","Without SSI","Percent","Margins of Error",4.4
"New Fairfield","0900150860","2012-2016","Without SSI","Percent","Social Security Status",67.5
"New Fairfield","0900150860","2012-2016","With SSI","Number","Margins of Error",145
"New Fairfield","0900150860","2012-2016","With SSI","Number","Social Security Status",1559
"New Fairfield","0900150860","2012-2016","With SSI","Percent","Margins of Error",3.2
"New Fairfield","0900150860","2012-2016","With SSI","Percent","Social Security Status",32.5
"New Hartford","0900551350","2006-2010","Total","Number","Margins of Error",140
"New Hartford","0900551350","2006-2010","Total","Number","Social Security Status",2601
"New Hartford","0900551350","2006-2010","Without SSI","Number","Margins of Error",140
"New Hartford","0900551350","2006-2010","Without SSI","Number","Social Security Status",1864
"New Hartford","0900551350","2006-2010","Without SSI","Percent","Margins of Error",6.6
"New Hartford","0900551350","2006-2010","Without SSI","Percent","Social Security Status",71.7
"New Hartford","0900551350","2006-2010","With SSI","Number","Margins of Error",93
"New Hartford","0900551350","2006-2010","With SSI","Number","Social Security Status",737
"New Hartford","0900551350","2006-2010","With SSI","Percent","Margins of Error",3.9
"New Hartford","0900551350","2006-2010","With SSI","Percent","Social Security Status",28.3
"New Hartford","0900551350","2007-2011","Total","Number","Margins of Error",143
"New Hartford","0900551350","2007-2011","Total","Number","Social Security Status",2635
"New Hartford","0900551350","2007-2011","Without SSI","Number","Margins of Error",134
"New Hartford","0900551350","2007-2011","Without SSI","Number","Social Security Status",1885
"New Hartford","0900551350","2007-2011","Without SSI","Percent","Margins of Error",6.4
"New Hartford","0900551350","2007-2011","Without SSI","Percent","Social Security Status",71.5
"New Hartford","0900551350","2007-2011","With SSI","Number","Margins of Error",107
"New Hartford","0900551350","2007-2011","With SSI","Number","Social Security Status",750
"New Hartford","0900551350","2007-2011","With SSI","Percent","Margins of Error",4.3
"New Hartford","0900551350","2007-2011","With SSI","Percent","Social Security Status",28.5
"New Hartford","0900551350","2008-2012","Total","Number","Margins of Error",143
"New Hartford","0900551350","2008-2012","Total","Number","Social Security Status",2680
"New Hartford","0900551350","2008-2012","Without SSI","Number","Margins of Error",135
"New Hartford","0900551350","2008-2012","Without SSI","Number","Social Security Status",1960
"New Hartford","0900551350","2008-2012","Without SSI","Percent","Margins of Error",6.4
"New Hartford","0900551350","2008-2012","Without SSI","Percent","Social Security Status",73.1
"New Hartford","0900551350","2008-2012","With SSI","Number","Margins of Error",106
"New Hartford","0900551350","2008-2012","With SSI","Number","Social Security Status",720
"New Hartford","0900551350","2008-2012","With SSI","Percent","Margins of Error",4.2
"New Hartford","0900551350","2008-2012","With SSI","Percent","Social Security Status",26.9
"New Hartford","0900551350","2009-2013","Total","Number","Margins of Error",162
"New Hartford","0900551350","2009-2013","Total","Number","Social Security Status",2647
"New Hartford","0900551350","2009-2013","Without SSI","Number","Margins of Error",144
"New Hartford","0900551350","2009-2013","Without SSI","Number","Social Security Status",1953
"New Hartford","0900551350","2009-2013","Without SSI","Percent","Margins of Error",7.1
"New Hartford","0900551350","2009-2013","Without SSI","Percent","Social Security Status",73.8
"New Hartford","0900551350","2009-2013","With SSI","Number","Margins of Error",110
"New Hartford","0900551350","2009-2013","With SSI","Number","Social Security Status",694
"New Hartford","0900551350","2009-2013","With SSI","Percent","Margins of Error",4.5
"New Hartford","0900551350","2009-2013","With SSI","Percent","Social Security Status",26.2
"New Hartford","0900551350","2010-2014","Total","Number","Margins of Error",164
"New Hartford","0900551350","2010-2014","Total","Number","Social Security Status",2702
"New Hartford","0900551350","2010-2014","Without SSI","Number","Margins of Error",153
"New Hartford","0900551350","2010-2014","Without SSI","Number","Social Security Status",1882
"New Hartford","0900551350","2010-2014","Without SSI","Percent","Margins of Error",3.8
"New Hartford","0900551350","2010-2014","Without SSI","Percent","Social Security Status",69.7
"New Hartford","0900551350","2010-2014","With SSI","Number","Margins of Error",137
"New Hartford","0900551350","2010-2014","With SSI","Number","Social Security Status",820
"New Hartford","0900551350","2010-2014","With SSI","Percent","Margins of Error",4.7
"New Hartford","0900551350","2010-2014","With SSI","Percent","Social Security Status",30.3
"New Hartford","0900551350","2011-2015","Total","Number","Margins of Error",153
"New Hartford","0900551350","2011-2015","Total","Number","Social Security Status",2632
"New Hartford","0900551350","2011-2015","Without SSI","Number","Margins of Error",131
"New Hartford","0900551350","2011-2015","Without SSI","Number","Social Security Status",1837
"New Hartford","0900551350","2011-2015","Without SSI","Percent","Margins of Error",6.4
"New Hartford","0900551350","2011-2015","Without SSI","Percent","Social Security Status",69.8
"New Hartford","0900551350","2011-2015","With SSI","Number","Margins of Error",133
"New Hartford","0900551350","2011-2015","With SSI","Number","Social Security Status",795
"New Hartford","0900551350","2011-2015","With SSI","Percent","Margins of Error",5.3
"New Hartford","0900551350","2011-2015","With SSI","Percent","Social Security Status",30.2
"New Hartford","0900551350","2012-2016","Total","Number","Margins of Error",175
"New Hartford","0900551350","2012-2016","Total","Number","Social Security Status",2563
"New Hartford","0900551350","2012-2016","Without SSI","Number","Margins of Error",142
"New Hartford","0900551350","2012-2016","Without SSI","Number","Social Security Status",1785
"New Hartford","0900551350","2012-2016","Without SSI","Percent","Margins of Error",7.3
"New Hartford","0900551350","2012-2016","Without SSI","Percent","Social Security Status",69.6
"New Hartford","0900551350","2012-2016","With SSI","Number","Margins of Error",151
"New Hartford","0900551350","2012-2016","With SSI","Number","Social Security Status",778
"New Hartford","0900551350","2012-2016","With SSI","Percent","Margins of Error",6.2
"New Hartford","0900551350","2012-2016","With SSI","Percent","Social Security Status",30.4
"New Haven","0900952070","2006-2010","Total","Number","Margins of Error",1212
"New Haven","0900952070","2006-2010","Total","Number","Social Security Status",48419
"New Haven","0900952070","2006-2010","Without SSI","Number","Margins of Error",1041
"New Haven","0900952070","2006-2010","Without SSI","Number","Social Security Status",37660
"New Haven","0900952070","2006-2010","Without SSI","Percent","Margins of Error",2.9
"New Haven","0900952070","2006-2010","Without SSI","Percent","Social Security Status",77.8
"New Haven","0900952070","2006-2010","With SSI","Number","Margins of Error",621
"New Haven","0900952070","2006-2010","With SSI","Number","Social Security Status",10759
"New Haven","0900952070","2006-2010","With SSI","Percent","Margins of Error",1.4
"New Haven","0900952070","2006-2010","With SSI","Percent","Social Security Status",22.2
"New Haven","0900952070","2007-2011","Total","Number","Margins of Error",1027
"New Haven","0900952070","2007-2011","Total","Number","Social Security Status",49247
"New Haven","0900952070","2007-2011","Without SSI","Number","Margins of Error",968
"New Haven","0900952070","2007-2011","Without SSI","Number","Social Security Status",38156
"New Haven","0900952070","2007-2011","Without SSI","Percent","Margins of Error",2.5
"New Haven","0900952070","2007-2011","Without SSI","Percent","Social Security Status",77.5
"New Haven","0900952070","2007-2011","With SSI","Number","Margins of Error",526
"New Haven","0900952070","2007-2011","With SSI","Number","Social Security Status",11091
"New Haven","0900952070","2007-2011","With SSI","Percent","Margins of Error",1.2
"New Haven","0900952070","2007-2011","With SSI","Percent","Social Security Status",22.5
"New Haven","0900952070","2008-2012","Total","Number","Margins of Error",990
"New Haven","0900952070","2008-2012","Total","Number","Social Security Status",49308
"New Haven","0900952070","2008-2012","Without SSI","Number","Margins of Error",989
"New Haven","0900952070","2008-2012","Without SSI","Number","Social Security Status",38204
"New Haven","0900952070","2008-2012","Without SSI","Percent","Margins of Error",2.5
"New Haven","0900952070","2008-2012","Without SSI","Percent","Social Security Status",77.5
"New Haven","0900952070","2008-2012","With SSI","Number","Margins of Error",686
"New Haven","0900952070","2008-2012","With SSI","Number","Social Security Status",11104
"New Haven","0900952070","2008-2012","With SSI","Percent","Margins of Error",1.5
"New Haven","0900952070","2008-2012","With SSI","Percent","Social Security Status",22.5
"New Haven","0900952070","2009-2013","Total","Number","Margins of Error",1007
"New Haven","0900952070","2009-2013","Total","Number","Social Security Status",50056
"New Haven","0900952070","2009-2013","Without SSI","Number","Margins of Error",934
"New Haven","0900952070","2009-2013","Without SSI","Number","Social Security Status",38470
"New Haven","0900952070","2009-2013","Without SSI","Percent","Margins of Error",2.4
"New Haven","0900952070","2009-2013","Without SSI","Percent","Social Security Status",76.9
"New Haven","0900952070","2009-2013","With SSI","Number","Margins of Error",550
"New Haven","0900952070","2009-2013","With SSI","Number","Social Security Status",11586
"New Haven","0900952070","2009-2013","With SSI","Percent","Margins of Error",1.2
"New Haven","0900952070","2009-2013","With SSI","Percent","Social Security Status",23.1
"New Haven","0900952070","2010-2014","Total","Number","Margins of Error",845
"New Haven","0900952070","2010-2014","Total","Number","Social Security Status",49945
"New Haven","0900952070","2010-2014","Without SSI","Number","Margins of Error",828
"New Haven","0900952070","2010-2014","Without SSI","Number","Social Security Status",38602
"New Haven","0900952070","2010-2014","Without SSI","Percent","Margins of Error",1
"New Haven","0900952070","2010-2014","Without SSI","Percent","Social Security Status",77.3
"New Haven","0900952070","2010-2014","With SSI","Number","Margins of Error",564
"New Haven","0900952070","2010-2014","With SSI","Number","Social Security Status",11343
"New Haven","0900952070","2010-2014","With SSI","Percent","Margins of Error",1.1
"New Haven","0900952070","2010-2014","With SSI","Percent","Social Security Status",22.7
"New Haven","0900952070","2011-2015","Total","Number","Margins of Error",926
"New Haven","0900952070","2011-2015","Total","Number","Social Security Status",49771
"New Haven","0900952070","2011-2015","Without SSI","Number","Margins of Error",870
"New Haven","0900952070","2011-2015","Without SSI","Number","Social Security Status",38202
"New Haven","0900952070","2011-2015","Without SSI","Percent","Margins of Error",2.3
"New Haven","0900952070","2011-2015","Without SSI","Percent","Social Security Status",76.8
"New Haven","0900952070","2011-2015","With SSI","Number","Margins of Error",606
"New Haven","0900952070","2011-2015","With SSI","Number","Social Security Status",11569
"New Haven","0900952070","2011-2015","With SSI","Percent","Margins of Error",1.3
"New Haven","0900952070","2011-2015","With SSI","Percent","Social Security Status",23.2
"New Haven","0900952070","2012-2016","Total","Number","Margins of Error",827
"New Haven","0900952070","2012-2016","Total","Number","Social Security Status",50024
"New Haven","0900952070","2012-2016","Without SSI","Number","Margins of Error",800
"New Haven","0900952070","2012-2016","Without SSI","Number","Social Security Status",37994
"New Haven","0900952070","2012-2016","Without SSI","Percent","Margins of Error",2
"New Haven","0900952070","2012-2016","Without SSI","Percent","Social Security Status",76
"New Haven","0900952070","2012-2016","With SSI","Number","Margins of Error",556
"New Haven","0900952070","2012-2016","With SSI","Number","Social Security Status",12030
"New Haven","0900952070","2012-2016","With SSI","Percent","Margins of Error",1.2
"New Haven","0900952070","2012-2016","With SSI","Percent","Social Security Status",24
"Newington","0900352140","2006-2010","Total","Number","Margins of Error",345
"Newington","0900352140","2006-2010","Total","Number","Social Security Status",12131
"Newington","0900352140","2006-2010","Without SSI","Number","Margins of Error",303
"Newington","0900352140","2006-2010","Without SSI","Number","Social Security Status",8184
"Newington","0900352140","2006-2010","Without SSI","Percent","Margins of Error",3.1
"Newington","0900352140","2006-2010","Without SSI","Percent","Social Security Status",67.5
"Newington","0900352140","2006-2010","With SSI","Number","Margins of Error",317
"Newington","0900352140","2006-2010","With SSI","Number","Social Security Status",3947
"Newington","0900352140","2006-2010","With SSI","Percent","Margins of Error",2.8
"Newington","0900352140","2006-2010","With SSI","Percent","Social Security Status",32.5
"Newington","0900352140","2007-2011","Total","Number","Margins of Error",295
"Newington","0900352140","2007-2011","Total","Number","Social Security Status",12615
"Newington","0900352140","2007-2011","Without SSI","Number","Margins of Error",280
"Newington","0900352140","2007-2011","Without SSI","Number","Social Security Status",8580
"Newington","0900352140","2007-2011","Without SSI","Percent","Margins of Error",2.7
"Newington","0900352140","2007-2011","Without SSI","Percent","Social Security Status",68
"Newington","0900352140","2007-2011","With SSI","Number","Margins of Error",222
"Newington","0900352140","2007-2011","With SSI","Number","Social Security Status",4035
"Newington","0900352140","2007-2011","With SSI","Percent","Margins of Error",1.9
"Newington","0900352140","2007-2011","With SSI","Percent","Social Security Status",32
"Newington","0900352140","2008-2012","Total","Number","Margins of Error",268
"Newington","0900352140","2008-2012","Total","Number","Social Security Status",12699
"Newington","0900352140","2008-2012","Without SSI","Number","Margins of Error",302
"Newington","0900352140","2008-2012","Without SSI","Number","Social Security Status",8700
"Newington","0900352140","2008-2012","Without SSI","Percent","Margins of Error",2.8
"Newington","0900352140","2008-2012","Without SSI","Percent","Social Security Status",68.5
"Newington","0900352140","2008-2012","With SSI","Number","Margins of Error",227
"Newington","0900352140","2008-2012","With SSI","Number","Social Security Status",3999
"Newington","0900352140","2008-2012","With SSI","Percent","Margins of Error",1.9
"Newington","0900352140","2008-2012","With SSI","Percent","Social Security Status",31.5
"Newington","0900352140","2009-2013","Total","Number","Margins of Error",292
"Newington","0900352140","2009-2013","Total","Number","Social Security Status",12659
"Newington","0900352140","2009-2013","Without SSI","Number","Margins of Error",261
"Newington","0900352140","2009-2013","Without SSI","Number","Social Security Status",8580
"Newington","0900352140","2009-2013","Without SSI","Percent","Margins of Error",2.6
"Newington","0900352140","2009-2013","Without SSI","Percent","Social Security Status",67.8
"Newington","0900352140","2009-2013","With SSI","Number","Margins of Error",236
"Newington","0900352140","2009-2013","With SSI","Number","Social Security Status",4079
"Newington","0900352140","2009-2013","With SSI","Percent","Margins of Error",2
"Newington","0900352140","2009-2013","With SSI","Percent","Social Security Status",32.2
"Newington","0900352140","2010-2014","Total","Number","Margins of Error",302
"Newington","0900352140","2010-2014","Total","Number","Social Security Status",12634
"Newington","0900352140","2010-2014","Without SSI","Number","Margins of Error",322
"Newington","0900352140","2010-2014","Without SSI","Number","Social Security Status",8413
"Newington","0900352140","2010-2014","Without SSI","Percent","Margins of Error",2
"Newington","0900352140","2010-2014","Without SSI","Percent","Social Security Status",66.6
"Newington","0900352140","2010-2014","With SSI","Number","Margins of Error",251
"Newington","0900352140","2010-2014","With SSI","Number","Social Security Status",4221
"Newington","0900352140","2010-2014","With SSI","Percent","Margins of Error",1.8
"Newington","0900352140","2010-2014","With SSI","Percent","Social Security Status",33.4
"Newington","0900352140","2011-2015","Total","Number","Margins of Error",278
"Newington","0900352140","2011-2015","Total","Number","Social Security Status",12649
"Newington","0900352140","2011-2015","Without SSI","Number","Margins of Error",278
"Newington","0900352140","2011-2015","Without SSI","Number","Social Security Status",8509
"Newington","0900352140","2011-2015","Without SSI","Percent","Margins of Error",2.6
"Newington","0900352140","2011-2015","Without SSI","Percent","Social Security Status",67.3
"Newington","0900352140","2011-2015","With SSI","Number","Margins of Error",229
"Newington","0900352140","2011-2015","With SSI","Number","Social Security Status",4140
"Newington","0900352140","2011-2015","With SSI","Percent","Margins of Error",1.9
"Newington","0900352140","2011-2015","With SSI","Percent","Social Security Status",32.7
"Newington","0900352140","2012-2016","Total","Number","Margins of Error",348
"Newington","0900352140","2012-2016","Total","Number","Social Security Status",12617
"Newington","0900352140","2012-2016","Without SSI","Number","Margins of Error",357
"Newington","0900352140","2012-2016","Without SSI","Number","Social Security Status",8367
"Newington","0900352140","2012-2016","Without SSI","Percent","Margins of Error",3.4
"Newington","0900352140","2012-2016","Without SSI","Percent","Social Security Status",66.3
"Newington","0900352140","2012-2016","With SSI","Number","Margins of Error",268
"Newington","0900352140","2012-2016","With SSI","Number","Social Security Status",4250
"Newington","0900352140","2012-2016","With SSI","Percent","Margins of Error",2.3
"Newington","0900352140","2012-2016","With SSI","Percent","Social Security Status",33.7
"New London","0901152350","2006-2010","Total","Number","Margins of Error",439
"New London","0901152350","2006-2010","Total","Number","Social Security Status",10223
"New London","0901152350","2006-2010","Without SSI","Number","Margins of Error",338
"New London","0901152350","2006-2010","Without SSI","Number","Social Security Status",7763
"New London","0901152350","2006-2010","Without SSI","Percent","Margins of Error",4.6
"New London","0901152350","2006-2010","Without SSI","Percent","Social Security Status",75.9
"New London","0901152350","2006-2010","With SSI","Number","Margins of Error",294
"New London","0901152350","2006-2010","With SSI","Number","Social Security Status",2460
"New London","0901152350","2006-2010","With SSI","Percent","Margins of Error",3.1
"New London","0901152350","2006-2010","With SSI","Percent","Social Security Status",24.1
"New London","0901152350","2007-2011","Total","Number","Margins of Error",558
"New London","0901152350","2007-2011","Total","Number","Social Security Status",10517
"New London","0901152350","2007-2011","Without SSI","Number","Margins of Error",486
"New London","0901152350","2007-2011","Without SSI","Number","Social Security Status",7898
"New London","0901152350","2007-2011","Without SSI","Percent","Margins of Error",6.1
"New London","0901152350","2007-2011","Without SSI","Percent","Social Security Status",75.1
"New London","0901152350","2007-2011","With SSI","Number","Margins of Error",343
"New London","0901152350","2007-2011","With SSI","Number","Social Security Status",2619
"New London","0901152350","2007-2011","With SSI","Percent","Margins of Error",3.5
"New London","0901152350","2007-2011","With SSI","Percent","Social Security Status",24.9
"New London","0901152350","2008-2012","Total","Number","Margins of Error",466
"New London","0901152350","2008-2012","Total","Number","Social Security Status",10376
"New London","0901152350","2008-2012","Without SSI","Number","Margins of Error",449
"New London","0901152350","2008-2012","Without SSI","Number","Social Security Status",7811
"New London","0901152350","2008-2012","Without SSI","Percent","Margins of Error",5.5
"New London","0901152350","2008-2012","Without SSI","Percent","Social Security Status",75.3
"New London","0901152350","2008-2012","With SSI","Number","Margins of Error",275
"New London","0901152350","2008-2012","With SSI","Number","Social Security Status",2565
"New London","0901152350","2008-2012","With SSI","Percent","Margins of Error",2.9
"New London","0901152350","2008-2012","With SSI","Percent","Social Security Status",24.7
"New London","0901152350","2009-2013","Total","Number","Margins of Error",461
"New London","0901152350","2009-2013","Total","Number","Social Security Status",10336
"New London","0901152350","2009-2013","Without SSI","Number","Margins of Error",388
"New London","0901152350","2009-2013","Without SSI","Number","Social Security Status",7965
"New London","0901152350","2009-2013","Without SSI","Percent","Margins of Error",5.1
"New London","0901152350","2009-2013","Without SSI","Percent","Social Security Status",77.1
"New London","0901152350","2009-2013","With SSI","Number","Margins of Error",274
"New London","0901152350","2009-2013","With SSI","Number","Social Security Status",2371
"New London","0901152350","2009-2013","With SSI","Percent","Margins of Error",2.8
"New London","0901152350","2009-2013","With SSI","Percent","Social Security Status",22.9
"New London","0901152350","2010-2014","Total","Number","Margins of Error",417
"New London","0901152350","2010-2014","Total","Number","Social Security Status",10224
"New London","0901152350","2010-2014","Without SSI","Number","Margins of Error",397
"New London","0901152350","2010-2014","Without SSI","Number","Social Security Status",7942
"New London","0901152350","2010-2014","Without SSI","Percent","Margins of Error",2.2
"New London","0901152350","2010-2014","Without SSI","Percent","Social Security Status",77.7
"New London","0901152350","2010-2014","With SSI","Number","Margins of Error",239
"New London","0901152350","2010-2014","With SSI","Number","Social Security Status",2282
"New London","0901152350","2010-2014","With SSI","Percent","Margins of Error",2.2
"New London","0901152350","2010-2014","With SSI","Percent","Social Security Status",22.3
"New London","0901152350","2011-2015","Total","Number","Margins of Error",480
"New London","0901152350","2011-2015","Total","Number","Social Security Status",10770
"New London","0901152350","2011-2015","Without SSI","Number","Margins of Error",451
"New London","0901152350","2011-2015","Without SSI","Number","Social Security Status",8521
"New London","0901152350","2011-2015","Without SSI","Percent","Margins of Error",5.5
"New London","0901152350","2011-2015","Without SSI","Percent","Social Security Status",79.1
"New London","0901152350","2011-2015","With SSI","Number","Margins of Error",269
"New London","0901152350","2011-2015","With SSI","Number","Social Security Status",2249
"New London","0901152350","2011-2015","With SSI","Percent","Margins of Error",2.7
"New London","0901152350","2011-2015","With SSI","Percent","Social Security Status",20.9
"New London","0901152350","2012-2016","Total","Number","Margins of Error",490
"New London","0901152350","2012-2016","Total","Number","Social Security Status",10600
"New London","0901152350","2012-2016","Without SSI","Number","Margins of Error",426
"New London","0901152350","2012-2016","Without SSI","Number","Social Security Status",8427
"New London","0901152350","2012-2016","Without SSI","Percent","Margins of Error",5.4
"New London","0901152350","2012-2016","Without SSI","Percent","Social Security Status",79.5
"New London","0901152350","2012-2016","With SSI","Number","Margins of Error",211
"New London","0901152350","2012-2016","With SSI","Number","Social Security Status",2173
"New London","0901152350","2012-2016","With SSI","Percent","Margins of Error",2.2
"New London","0901152350","2012-2016","With SSI","Percent","Social Security Status",20.5
"New Milford","0900552630","2006-2010","Total","Number","Margins of Error",310
"New Milford","0900552630","2006-2010","Total","Number","Social Security Status",10659
"New Milford","0900552630","2006-2010","Without SSI","Number","Margins of Error",324
"New Milford","0900552630","2006-2010","Without SSI","Number","Social Security Status",8349
"New Milford","0900552630","2006-2010","Without SSI","Percent","Margins of Error",3.8
"New Milford","0900552630","2006-2010","Without SSI","Percent","Social Security Status",78.3
"New Milford","0900552630","2006-2010","With SSI","Number","Margins of Error",221
"New Milford","0900552630","2006-2010","With SSI","Number","Social Security Status",2310
"New Milford","0900552630","2006-2010","With SSI","Percent","Margins of Error",2.2
"New Milford","0900552630","2006-2010","With SSI","Percent","Social Security Status",21.7
"New Milford","0900552630","2007-2011","Total","Number","Margins of Error",273
"New Milford","0900552630","2007-2011","Total","Number","Social Security Status",10760
"New Milford","0900552630","2007-2011","Without SSI","Number","Margins of Error",304
"New Milford","0900552630","2007-2011","Without SSI","Number","Social Security Status",8426
"New Milford","0900552630","2007-2011","Without SSI","Percent","Margins of Error",3.5
"New Milford","0900552630","2007-2011","Without SSI","Percent","Social Security Status",78.3
"New Milford","0900552630","2007-2011","With SSI","Number","Margins of Error",213
"New Milford","0900552630","2007-2011","With SSI","Number","Social Security Status",2334
"New Milford","0900552630","2007-2011","With SSI","Percent","Margins of Error",2.1
"New Milford","0900552630","2007-2011","With SSI","Percent","Social Security Status",21.7
"New Milford","0900552630","2008-2012","Total","Number","Margins of Error",287
"New Milford","0900552630","2008-2012","Total","Number","Social Security Status",10722
"New Milford","0900552630","2008-2012","Without SSI","Number","Margins of Error",250
"New Milford","0900552630","2008-2012","Without SSI","Number","Social Security Status",8315
"New Milford","0900552630","2008-2012","Without SSI","Percent","Margins of Error",3.1
"New Milford","0900552630","2008-2012","Without SSI","Percent","Social Security Status",77.6
"New Milford","0900552630","2008-2012","With SSI","Number","Margins of Error",178
"New Milford","0900552630","2008-2012","With SSI","Number","Social Security Status",2407
"New Milford","0900552630","2008-2012","With SSI","Percent","Margins of Error",1.8
"New Milford","0900552630","2008-2012","With SSI","Percent","Social Security Status",22.4
"New Milford","0900552630","2009-2013","Total","Number","Margins of Error",317
"New Milford","0900552630","2009-2013","Total","Number","Social Security Status",10707
"New Milford","0900552630","2009-2013","Without SSI","Number","Margins of Error",354
"New Milford","0900552630","2009-2013","Without SSI","Number","Social Security Status",8241
"New Milford","0900552630","2009-2013","Without SSI","Percent","Margins of Error",4
